country,points,price,variety,winery,description
Spain,87,22.0,Red Blend,Jaspi,"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time."
Argentina,87,15.0,Malbec,Tupun,"Dark-berry aromas are crisp and show a note of minerality as well as barrel char. This is firm, juicy and modest in structure, with flavors of blackberry and cassis touched up by some oak. A non-pushy finish with a hint of mocha is a good close."
France,87,20.0,Bordeaux-style Red Blend,Château Beauregard Lagupeau,Bright fruit is allied to a more mineral structure to give a wine that shows the freshness of the vintage plus a more long-term view. It is cool with red fruits and some firm tannins that act as a background. Drink from 2017.
France,87,25.0,Bordeaux-style Red Blend,Château du Taillan,"Owned by the Cruse family, one of the Bordeaux wine aristocracy, this rich wine is dominated by Merlot, giving it ample weight. The 18 months of wood aging shows in the smoky edge to the wine, although this will soften. Drink from 2017."
France,87,20.0,Bordeaux-style Red Blend,Château la Haye,"The smoky aroma and toasty wood character smothers the fruit. It is a tough wine at this stage although it does hint at some of the 2012 juicy fruit flavors. Drink this firm, solid wine from 2018."
France,87,20.0,Bordeaux-style Red Blend,Château Lalande Mausse,"Intensely tannic, this structured wine has layers of wood aging, along with juicy fruits and bright acidity. There's a strongly smoky element, the wine's fruitiness balanced by a dark, toasty aftertaste. Drink from 2018."
France,87,25.0,Bordeaux-style Red Blend,Château Magnol,"This is a smoky, obviously wood-aged wine. The burnt toast character is still dominant, waiting for the attractive black currant fruits to catch up. It will develop into a bright, fruity wine, so wait until 2017."
US,87,10.0,Chardonnay,Grand Pacific,"A creamy, buttery texture wraps around a core of bright lemon and apple flavors. This is balanced slightly toward sweetness as the luxurious viscosity carries the vivid flavors into the finish."
US,87,18.0,Malbec,Hamilton,"This saignée-style wine is pale salmon in color, showing some bricking. It drinks dry with rounded suggestions of cherry and watermelon providing easy-drinking enjoyment."
US,87,18.0,Chardonnay,Heron Hill,"Zesty and mineral, this unoaked, citrusy Chardonnay would make a particularly refreshing apéritif. Flavors of Asian pear and quince are crisp and cutting on the palate. Enjoy now for it's vivacious style."
US,87,14.0,Riesling,Heron Hill,"Smoke and violet perfume are seductive on this elegant off-dry Riesling. Fresh green apple and pear flavors are tart but concentrated, wrapping up tightly with a squeaky-clean, lemon-lime finish."
US,87,14.0,Riesling,Fox Run,"Intense notes of crushed stone and slate permeate this stately off-dry Riesling. Pert lemon and tangerine flavors are zippy and fresh, but the wine is more a showcase for its brisk, stony style."
US,87,40.0,Cabernet Franc,Glenora,"Figs and spice perfume this tawny Cabernet Franc ice wine. It's a bit rustic in style, evoking layers of fallen leaves and potpourri melding with dusty raisins and figs. But it's elegantly crisp and the exotic, uniquely spicy character is seductive."
France,87,18.0,Bordeaux-style Red Blend,Château Roc Taillade,"This ripe, now soft wine has gentle red fruits and soft acidity. It's ready to drink with its rich texture and smooth structure. The end is rounded, only just hinting at tannins."
France,87,20.0,Bordeaux-style Red Blend,Château Sénéjac,"Owned by the same family as Château Talbot in Saint-Julien, this vintage of Sénéjac is now mature, showing signs of leather and a firm structure rather than fruit. It's unlikely to develop further, so drink now."
US,87,10.0,Gewürztraminer,Chateau Ste. Michelle,"This is an aromatic wine with notes of rose water, pear and white flowers. It drinks medium sweet with abundant spice flavors throughout. Pair with spicy Thai dishes."
US,87,11.0,Merlot,Castle Rock,"The aromas of this wine suggest plum, herb and pencil eraser. It's full flavored with dark blue fruit and chalky, dry tannins. An affordable and approachable wine best enjoyed now."
US,87,36.0,Cabernet Sauvignon,Dussek Family Cellars,"Though just four years old, this wine seems advanced with notes of dried cherry, vanilla, dried tobacco and blackberry. The dried cranberry and cherry flavors are rich and tart, backed by quite astringent tannins."
US,87,20.0,Cabernet Franc,Serenity,"Tawny in color and wafting of potpourri and fallen leaves, this raspberry-inflected wine is already starting to show its maturity. Briskly concentrated and light on its feet, it makes an elegant sip to enjoy now before it loses its delicate, perfumed charms."
US,87,32.0,Grenache,Sol Stone,"The aromas on this wine are quite light, conveying wood, herbs and red fruit. This contrasts with the sweet, rich fruit flavors with a gentle grip of tannins."
Spain,87,18.0,Sparkling Blend,Sumarroca,"A mix of smoke and toast blends with fresh, crisp citrus aromas on the nose. That's followed by a foamy, reactive palate with flavors of pink grapefruit, orange, pepper and caramel. This remains foamy on the finish, which is peppery and slightly bitter in flavor."
Portugal,93,55.0,Portuguese Red,Poças,"A big, ripe and spicy wine, this is packed with woody notes as well as powerful fruit. It has solid tannins and dark flavors of bitter chocolate and black cherries. It's rich and concentrated, with good aging potential. Drink from 2018."
Italy,93,49.0,Nebbiolo,Rizzi,"Blue flower, ripe berry, baking spice and mint aromas lead the nose on this full-bodied, elegant wine. The palate delivers juicy black cherry, crushed raspberry, cinnamon, licorice and mineral alongside firm, ripe tannins. It's young but already displays a great combination of structure and finesse."
US,93,50.0,Zinfandel,Robert Biale,"There is earthy darkness and a hint of the forest in this Zin, grown at high elevation in the rocky soils of the Rockpile appellation, these vines planted in 2001. The wine is magnificently structured with complex, ripe blackberry and cherry compote coming to the fore slowly and seductively."
Italy,93,58.0,Nebbiolo,Sottimano,"Crushed raspberry, blue flower, tilled soil and graphite aromas lead the nose on this firmly structured wine. It's still very young and needs to open up fully, but the palate already displays breeding and class. It offers ripe black cherry, ground black pepper, licorice and grilled sage alongside tightly wound but fine tannins. Drink 2018–2026."
France,93,39.0,Riesling,Domaine Jean-Luc Mader,"The chalk soil of the Rosacker vineyard has produced a rich, intensely fruity wine that is shot through with steely minerality and a wonderful perfumed character. It's so crisp and fresh while also being densely textured and complex. The wine has a long future, drink from 2017."
France,93,65.0,Riesling,Domaine Zind-Humbrecht,"Beautifully balanced, this conveys both rich fruit and a tense, intense minerality. Combining the two strands impeccably, it brings out tangy apple and pink grapefruit flavors and a steely, tight acidity. It's a structured wine that needs to age. Drink from 2018."
Morocco,93,35.0,Syrah-Grenache,Bernard Magrez,"Tones of black cherry, toffee, tobacco, tar and violet show boldly on the nose and palate of this Moroccan red. Powerful tannins provide a suitable backdrop for fruit and spice flavors alongside an ever-present sense of brightness that lasts into the finish."
Italy,93,80.0,Nebbiolo,Borgogno,"Intense aromas of dried rose, leather, truffle and crushed berry lead the nose. The ripe, forward palate offers crushed black cherry, wild raspberry, cinnamon white pepper and sage alongside chewy tannins. Drink 2015–2022."
France,93,42.0,Riesling,Domaine François Schmitt,"Paradis is a parcel within the Pfingstberg Grand Cru, giving particularly fine and rich Riesling. This ripe and full-bodied wine manages to preserve all the elegance and style of the grape while having full tropical fruits, juicy acidity and a warm, rounded aftertaste. It will certainly age, so drink from 2017."
France,93,61.0,Riesling,Gustave Lorentz,"This late release, aging for five years, has produced a majestic wine. Its breadth of flavor, with ripe fruits as well as intense structure, are gently transitioning from the first flush of youth to a more mature character. Intensely textured, tight, ready to spring, it shows the beauty of maturing Riesling. Drink now, although it will age many more years."
US,93,58.0,G-S-M,Force Majeure,"Produced for Force Majeure by Syncline's James Mantone, this riveting wine is a blend of 47% Mourvèdre, 42% Syrah and 11% Grenache. Lush and redolent with wild berry and wet rock aromatics, it carries a thread of sweet grain along with bright, detailed berry fruit and balancing acidity. Delicious already, it can be enjoyed now through 2020."
US,93,38.0,Mourvèdre,Anglim,"More people would crave Mourvèdre if it were done in this style, with light rather than heavy leather scents alongside purple fruits. Once sipped, it hits the tastebuds with blueberry soda, tobacco, licorice, black pepper and wild game, all restrained and juicy rather than brooding and thick."
France,93,48.0,Riesling,Domaine Ostertag,"Rounded, rich and full in the mouth, this offers swathes of flowery, aromatic fruit that is still young, still in its primary stage. With just a hint of steely texture, the wine does have structure and aging potential. For now, it is generous and delicious."
US,93,50.0,Zinfandel,Robert Biale,"The winery's proprietary block of Zin grapes (planted in 1999) from the coveted Stagecoach Vineyards contributes to an intense wine. Juicy and oaky, it's dense in cherry and plum, a note of lavender and sage complementing the whole. A thick liqueur sense characterizes the texture, but the palate stays alive through the site's rocky minerality. This one'll age."
Italy,93,58.0,Nebbiolo,Sottimano,"Ripe and delicious, this starts off with aromas of fresh violet, rose, perfumed berry, exotic spice and tilled earth. It's still young but the palate already delivers a great depth of flavors including juicy black cherry, crushed raspberry, clove and black pepper alongside chewy tannins. Drink 2016 to 2021."
France,93,120.0,Bordeaux-style White Blend,Château Raymond-Lafon,"From one of the many recent exceptional years in Sauternes, this ripe, unctuous wine has balanced the rich honeyed fruit and the drier edge of botrytis. It's full in the mouth, with Seville orange and a light touch of ginger. Drink from 2019."
US,93,50.0,Syrah,Red Car,"A case study in cool-climate, estate-grown Syrah, the white pepper on the nose and palate is playful and exuberant, the acidity buoyant and lingering. The fruit takes on hushed tones of wild berry and bramble, with a soft texture inviting one in for more."
US,93,80.0,Cabernet Sauvignon,Force Majeure,"Chris Gorman is the winemaker for this pure, old vine Cabernet Sauvignon. Despite the high alcohol and the use of 100% new French oak, most of the old vine nuances are still there—a wild mix of heather and herb with berry and grain scents that weave together in the mouth. Brambly and tart, with strawberry and cherry fruit, it's a compelling wine that keeps you on your toes."
US,93,40.0,Syrah,Mulvane Wine Co.,"Addictive aromas of hot blackberry pie laced with cinnamon, allspice, cola nut and a stewed cherry sauce reveal the promise of this popular Los Alamos Valley vineyard. Dark plum fruit, but with the acidity of the plum skin, meets with candied flavors of blackberry syrup and the freshness of soda water. A hedonistic Syrah."
Portugal,93,41.0,Portuguese Red,Caves Aliança,"Almost ready to drink, this wood-aged wine is packed with herbs, dark berry fruits and the first signs of secondary spice and leather flavors. The tannins are still powerful and need to soften further, so drink this complex, concentrated wine from 2016."
US,93,48.0,Cabernet Sauvignon,Double Canyon,"Somewhat light in color, this is an aromatically appealing wine that shows a complex assortment of coffee, vanilla, pencil lead, cherry, blueberry and high-toned herbal notes. It's exquisitely polished in its styling, with plush tannins and a long, lingering finish. A pretty expression of the variety that shows a great degree of elegance and deftness, it drinks well out of the gate but continues to improve with additional time to breathe."
US,93,200.0,Cabernet Sauvignon,Diamond Creek,"From a seven-acre section of the vineyard, this offers plenty of saddle leather and cedar amidst spicy cardamom layers, a soft, juicy core and tingling acidity. The structure and weight suggest the ability to cellar comfortably through 2020."
US,93,39.0,Petit Verdot,Côtes de Ciel,"Pure Petit Verdot from Red Mountain's quintessential Bordeaux varietal vineyard—does it get any better? Big, deep and tannic, with lovely purity, this features ultraripe fig and plum fruit with a pleasing salinity. The finish is persistent and shows a streak of iron. Note the alcohol is pushing 16% however it is beautifully integrated."
US,93,62.0,Cabernet Sauvignon,Sparkman,"Principally Klipsun vineyard fruit, this is a mass of black cherry and cassis, wreathed in smoke from aging in 80% new French barrels. Great balance and length carry it through into drying tannins. A perfect steakhouse Cabernet."
Italy,93,43.0,Nebbiolo,Punset,"Structured and energetic, this has a balsamic nose that offers aromas of menthol, mint, fennel, ripe berry, leather and a whiff of violet. The palate delivers crushed red cherry, black raspberry, baking spices and licorice alongside assertive tannins and fresh acidity. Drink 2017–2025."
France,92,35.0,Riesling,Domaine Ehrhart,"This ripe, full wine has both great minerality and rich white fruits that are aromatic as well as very fresh. The fruits are laced with citrus to give a complex wine that deserves aging. Drink from 2017."
France,92,48.0,Riesling,Domaine Zinck,"Floral aromas lead into a rich, not quite dry wine that is beautifully ripe and perfumed. It is rounded and opulent while preserving the steely, mineral texture. Still young, it demands aging. Drink from 2017."
France,92,55.0,Riesling,Domaine Zind-Humbrecht,"As its name implies, this wine comes from chalk soil, giving both a strongly mineral character and ripe tropical fruit flavors. It's rich, full in the mouth, dry but with such a ripe character there seems to be some sweetness. It's impressively full and ready to drink now."
Portugal,92,40.0,Portuguese Red,Dona Maria-Júlio Bastos,"Produced from old vines, this is an impressive wine, rich and dense. It brings together dark tannins and opulent black fruits that cushion the firm structure. A lively acidity and a silky character show that the wine is ready to drink."
Italy,92,69.0,Nebbiolo,Fontanafredda,"This opens with a pretty fragrance of violet, exotic spice and perfumed berry. The juicy palate doles out ripe black cherry, crushed raspberry, freshly ground pepper, mocha and anisette. It's nicely balanced with fresh acidity and firm but polished tannins."
France,88,16.0,Bordeaux-style Red Blend,Château Chantemerle,"Smoky and toasty, this is a structured wine. It has layers of black currant fruits, fresh acidity as well as firm tannins that overlay the juicy fruitiness. It needs to age. Drink from 2016."
France,88,16.0,Bordeaux-style White Blend,Château Chaubinet,"While the wine is rich, it's also very crisp and fruity. Tight acidity and a chalky, steely texture are balanced by ripe apples and pink grapefruit. It's a wine for drinking this year, bright and fruity."
France,88,,Bordeaux-style White Blend,Château Ferran,"A tight and herbaceous wine that is crisp, mineral and fresh. It shows a great potential for fruitiness, with natural juicy acidity as well as a bright, aromatic aftertaste. Drink from 2016."
France,88,15.0,Bordeaux-style Red Blend,Château Fongalan,"Round and velvet smooth, it has blackberry fruits that are full in the mouth, giving freshness while also making the wine rich and generous. The tannins are already well-integrated into this soft wine. Drink from 2015."
France,88,13.0,Bordeaux-style White Blend,Château Mezain,"Crisp and deliciously fruity, this is lively and bright. Acidity points up the lime and grapefruit flavors, leaving a fresh, juicy aftertaste. Drink now for maximum pleasure."
US,88,28.0,Chardonnay,Clos du Val,"Full-bodied and resplendent in ripe apple and brioche, this well-crafted wine is layered and smooth. It would pair well with grilled salmon or herb-roasted chicken."
US,88,36.0,Pinot Noir,Coeur de Terre,"Toasty scents and flavors of the barrels (40% new) cloak tart raspberry fruit. It's clean and efficient, though for the moment at least, the barrel flavors outrun the rather light fruit. That can change over time, so give this one until 2015 or so in bottle."
Romania,88,9.0,Rosé,Cramele Halewood,"This playful pink has fun aromas of cinnamon, red berry and bubble gum that lead to flavors of sour cherry and red plum on the palate. The finish is big, fruity and generous."
US,88,24.0,Chardonnay,Daniel Gehrs,"Bright orange juice, dill herbs and a slight whiff of vanilla bean lead the aromas on this un-oaked Chard. On the palate, flavors of apple cider come with a wash of fresh lime juice on the back end."
US,88,30.0,Rhône-style White Blend,Davis Family,"This white combines 48% Roussanne with 35% Marsanne and 17% Viognier to creamy, tropical effect, its balance between ripe melon and pear fruitiness and spiced acidity well woven. From one of the few sources of some of these grapes in the Russian River Valley, this Rhône-inspired wine is ready to pair with lobster or a roast turkey dinner."
US,88,25.0,Merlot,Decoy,"Taking time to come around aromatically, it opens up with plum and bright red cherry fruit that follow on the palate, a touch of savory tobacco suggested around the tannins. On the finish expect a balance of spice and sweet as black pepper and caramel compete for affection."
Italy,88,34.0,Nebbiolo,Reversanti,"Made for early drinking, this bright wine delivers red berry fruit lightly accented with sage and baking spices. It's not an ager so enjoy now through 2020."
US,88,60.0,Pinot Noir,Roco,"Sourced from the estate vineyard—the same vineyard that fuels the Private Stash reserve—this shows a dusty, somewhat charred character, presumably from the barrel aging. Along with the slightly burnt toast character comes plenty of black cherry fruit, and acids that leave a slightly chalky impression in the finish."
US,88,54.0,Pinot Noir,Saintsbury,"The other realm of the coin from Brown Ranch, Toyon is leaner and lighter, its color even subdued, a study in wild strawberry and layered floral highlights, oak and cardamom spice. It bristles with acidity, pleasant to sip on its own or with bacon-wrapped figs."
US,88,15.0,Muscat,Silvan Ridge,"This is a frizzante style of Muscat, the pressure slight enough to allow for a screwcap seal. Off-dry, spicy and aromatic, it's a great sipping wine, with concentrated flavors of sweet orange-pekoe tea."
Italy,88,56.0,Nebbiolo,Silvano Bolmida,"This opens with aromas of black plum, oak, espresso, black pepper, balsamic notes and a whiff of barnyard. The bracing palate delivers crushed dark cherry alongside oak sensations of espresso, toast and vanilla. Aggressive wood tannins cut this short and give an astringent finish."
US,88,20.0,Sauvignon Blanc,St. Supéry,"The winery's signature widely distributed white is heady in flowery jasmine, with vibrant acidity and a sense of sweetness on the palate thanks to fresh fruit flavors of grapefruit, peach and nectarine. An ideal wine for summer or whenever one needs to recall a summer's day."
US,88,61.0,Pinot Noir,Testarossa,"Smells of rust, iron, tomato and untracked peppercorns rise to the nose. On the palate, the wine is quite light and racy, with a little boysenberry and more sanguine flavors. Hold onto this one until 2016 for maximum enjoyment, as more flavors will emerge."
Italy,88,46.0,Nebbiolo,Trediberri,"Black plum, chocolate-covered cherry and mocha sensations come together alongside forceful tannins. It's rather ripe and forward for the vintage. Drink 2018–2025."
Spain,88,30.0,Tempranillo,Val de Los Frailes,"This is brilliantly purple in color, with jumpy, untamed black-fruit aromas. In the mouth, it is tannic and clawing, with a cheek-drilling mouthfeel. Syrupy blackberry flavors offer baking spice and clove accents, while the finish is showing unabsorbed oak and monster tannins."
Spain,88,17.0,Tempranillo Blend,Yuntero,"Dusty black cherry and dark plum aromas are ripe and friendly. This is a plump, modern-style red with a clean mouthfeel and weight. Berry fruits, spice and oak flavors blend well, while the finish is, in general, full, smooth and adequately fresh. Tempranillo with 10% Petit Verdot."
France,88,,Chenin Blanc-Chardonnay,Musset-Roullier,"This fresh and fruity sparkling wine is crisp with apple skin and apricot flavors. Ripe and full in the mouth , it has a lightly creamy mousse. The blend of Chenin Blanc and Chardonnay gives delicious fruitiness and tight final acidity."
US,88,40.0,Cabernet Sauvignon-Merlot,Oso Libre,"Chalky earth, black pepper and clove comprise the nose on this wine, which gets a boost from 10% Merlot. The flavors are spicy and complex, with cedar, tea and a tiny bit of varietally distinct green pepper."
US,88,39.0,Red Blend,Oso Libre,"Oso Libre ventures into the nonvintage category with this blend of 10 wines from the past five years, delivering a nose with blackberry and a pinch of pepper. The meaty wine really gets your attention once sipped, with boysenberry, cracked peppercorn, some iron and a lingering licorice flavors."
Italy,88,49.0,Nebbiolo,Palladino,"Made from vineyards throughout the village of Serralunga d'Alba, this straightforward wine is still closed. It reveals black cherry, espresso, prune and subtle oak alongside a note of tire rubber. It's still extremely young, with aggressive tannins that dry out the finish."
France,88,23.0,Sauvignon Blanc,Pierre Prieur et Fils,"A lemon-scented, crisp wine, it's also full of ripe yellow fruits. It's a warm in style, rich with both fruit and an open texture. Almonds and acidity give a refreshing aftertaste."
US,88,16.0,Pinot Grigio,Bargetto,"This is a great sunny day wine, starting with aromas of honeydew melon, ripe nectarine and lemongrass. There is a slightly peachy, bubblegum character once sipped, with lemon-lime soda in the midpalate and a flinty, gunmetal finish."
US,88,32.0,Mourvèdre,Adelaida,"A brighter, more mineral- and acid-driven take on the often rustic Rhône grape, this kicks off with fresh smells of raspberry and rock. The palate brings tart cherry, followed by just-ripe black berry and really ripe raspberry on the midpalate, and a tartness on the finish."
US,88,18.0,Chardonnay,Alma Rosa,"There's a lot happening on nose of this wine from Sta. Rita Hills pioneer Richard Sanford's recently rejuvenated Alma Rosa label. Aromas suggest light butterscotch, baked pear, fresh pluot and jasmine. Once sipped, the flavors don't live up to the aromatic promise, but apple, pear and a sharper tangerine rind round out the flavors."
Argentina,88,15.0,Cabernet Sauvignon,Lamadrid,"Immediately this smells raisiny, but with time secondary scents of cinnamon and Middle Eastern spices come into play. The body is soft and extracted, with modest acidity. Flavors of baked black fruits, fig paste, chocolate and herbs follow the nose, as does a chocolaty, rich  finish. Drink through 2016."
France,92,92.0,Pinot Noir,Domaine de Bellene,"Packed with tannin, it is not showing much sign of fruit yet. It is dark, brooding and very firm in texture, with just with a hint of juicy black cherry flavors. Wait until 2017 before drinking."
France,92,94.0,Chardonnay,Domaine Vincent Girardin,"A very fruity wine, it shows rich wood flavors as well as equally rich fruit. It is complex, very mineral in character, tight and nervy. The citrus fruit is matched by the apricot flavor, putting down layers of acidity. Don't drink before 2017."
US,92,58.0,Chardonnay,Failla,"The southern Napa Coombsville area is near San Pablo Bay, making it a cool area. In this vintage, it shows the acidity and mineraity of its terroir, but also the ripeness Chardonnay can achieve in a good vineyard, with orange and apricot flavors enhanced with oak. Drink now."
US,92,50.0,Rhône-style Red Blend,Gallica,"From the estimable Shake Ridge Ranch, winemaker Rosemary Cakebread has fashioned a lovely blend from 53% Grenache, 31% Syrah, 14% Mourvèdre and 2% Viognier. Opening with leathery tannins, the rich and savory concoction imparts juicy dark plum, tobacco and especially coffee."
US,92,48.0,Sparkling Blend,J Vineyards & Winery,"The vintage was a great one not only for J's dry table wines but for its sparklers. This brut, a classic Chardonnay and Pinot blend, with a drop of Pinot Meunier, is dry, with complex lemon, orange, yeast, vanilla, cream and toast flavors. The bubbles are ultra-fine, raising the appeal."
US,92,32.0,Pinot Noir,Les Voleurs,"This is such a good Pinot, and so reflective of the Sonoma Coast, that its price makes it a steal. With low alcohol and brisk acidity, it's translucent in color, with a gleaming ruby hue. The mouthfeel is silky and delicate, yet the raspberry, cola and buttered cinnamon toast flavors are intense. Drink now–2020."
Italy,92,27.0,Pinot Bianco,Nals Margreid,"This wine has more structure and depth than most Pinot Biancos from Alto Adige, thanks to vineyard location and 20% aging in large casks. It delivers sensations of apples and exotic fruit along with a flinty note. The creamy texture is brightened by lively acidity."
Portugal,92,35.0,Alvarinho,Provam,"Pure Alvarinho from the Monção region, it's rich, creamy and textured. Lined with great acidity, it also has intense apple, bitter orange and a strongly herbal element. While it's ready to drink, this complex wine will benefit by waiting until 2015."
Portugal,92,95.0,Portuguese White,Quinta Nova de Nossa Senhora do Carmo,"This wood-aged wine comes from a small parcel of old vines in the Quinta Nova vineyard. With its ripe, smooth and creamy texture, it has a full, almost Burgundian feel. Ripe peach combines with vanilla to make a wine that has concentration and richness, cut with final acidity."
US,92,43.0,Pinot Noir,Ryan Cochrane,"A great follow-up to the winery's 2011, made this time from an esteemed vineyard in one of the coldest parts of the valley. The vintage was difficult, but the wine is rich in raspberry, cranberry and persimmon flavors, brightened by crisp acidity and finishing totally dry. There's no reason not to drink it now."
Italy,92,33.0,Garganega,Suavia,"Here's a delicious Soave with depth and character. Floral aromas of Spanish Broom and chamomile take center stage, accented by a smidge of exotic fruit and graphite. The juicy palate offers honeydew melon, white peach, ripe pear, citrus and mineral purity balanced by fresh acidity."
Italy,92,60.0,Sauvignon,Cantina Terlano,"Classic varietal aromas include stone fruit, crushed tomato vine, freshly cut grass and green melon. The palate offers a depth of flavors that include creamy white peach and ripe cantaloupe that are brightened by firm acidity. It closes on a flinty mineral note."
France,92,,Malbec,Château du Cèdre,"The estate wine from Château du Cèdre is anything but simple. A powerful series of tannins and dense black fruits offer both a dark texture and great fruitiness. Acidity comes through strongly and, with the tannins, promises aging. Drink from 2017."
France,92,30.0,Bordeaux-style Red Blend,Château Haut Selve,"The minty aromas indicate new wood aging as well as a ripe, polished texture. They make for a wine that has presence and structure as well as rich fruitiness, blackberry flavors and a dry, solid core. It's a sophisticated wine that can age. Drink from 2017."
US,92,100.0,Cabernet Sauvignon,Communication Block,"Made from 100% Cabernet, this wine shows the intensity of fruit that Mount Veeder is capable of expressing. It also has excellent acidity. But the tannins are astringently strong, giving a numbing sting to the palate. This certainly needs time. Give it until 2022 and beyond."
US,92,35.0,Syrah,Baker & Brain,"Right out of the bottle, this 100% Syrah delights for its overall balance and deep, rich array of cherries and blueberries. If you pay attention, you'll find more complex layers of sautéed wild mushrooms, grilled prosciutto and toast. Dry and tannic, and would be ideal with roasted lamb."
France,91,60.0,Chardonnay,Domaine de Bellene,"There is a great balance here between the creamy fruit and the wood flavors. Apricots, ripe apples and melon are spiced with the right amount of toastiness. The wine has a rich, warm feel. It is still young, so wait until 2015 to drink."
France,91,16.0,Bordeaux-style Red Blend,Domaine D'en Ségur,"Hugely tannic at this stage, this dense and complex wine has great structure partnered with dark black fruit and licorice. There is forward bitterness, suggesting this wine needs aging. Drink from 2017."
France,91,40.0,Chardonnay,Domaine Sangouard-Guyot,"This is a ripe and smoothly textured wine. It is already finely balanced, rich with toast, apricot fruits and a tight, mineral character. It is enjoyable now but will age well until 2022."
US,91,60.0,Pinot Noir,Elk Cove,"Sourced from a 15-acre vineyard on Parrett Mountain, this displays single vineyard specificity. Entry is surprisingly soft, and (perhaps influenced by the name) there seems to be a pleasing clay-like quality to the mouthfeel. Clean blueberry fruit leads into a tasty, balanced finish."
France,91,100.0,Pinot Noir,Evening Land,"Still firm and closed, this is a structured wine, solidly tannic with just hints of fruit. It has a dry feel to it, firm, the acidity and red fruits coming through the leathery, dark texture. The wine needs aging, so drink from 2017."
Portugal,91,18.0,Touriga Nacional,Herdade de São Miguel,"Violets, truffles and ripe black fruits are present in this structured wine. It has almost too much richness, but there is plenty to admire. Solid tannins, a dark, heavy texture and complex acidity all show aging potential. Drink from 2018."
US,91,16.0,Pinot Gris,Iris Vineyards,"Sourced from the Chalice (estate) vineyard, this aromatic and seductive wine presents a compelling mix of tree fruits, racy acidity, and a rich, textural, open mouthfeel. The flavors of pears, orange peel and snappy spices linger deliciously through a long finish."
US,91,42.0,Syrah,Jack Creek,"This is a gigantic Syrah, a tsunami of blackberry jam and milk chocolate, with headier notes of cassis liqueur and toasty buttered oak. That sounds sweet, but the wine is thoroughly dry. The tannins are thick, but finely ground and negotiable now. It might last in the bottle for many years, but there's no point in aging it. Enjoy now with elaborate roasts and stews."
France,91,,Gros and Petit Manseng,Lionel Osmin & Cie,"A ripe, wood-aged wine, it's richly smoky and fruity at the same time. The blend brings out honey, ripe apricots and peach. Acidity cuts through at the end to give a final, delicious lift. Drink now, but best wait until 2015."
US,91,20.0,Pinot Noir,Brick & Mortar,"The hue is an elegant peach just starting to blush with pink. The wine is entirely dry, with low alcohol framing intricate flavors of peaches, limes and vanilla, brightened by crisp acidity."
Italy,91,25.0,Sauvignon,Colterenzio,"A savory Sauvignon with intensity and balance, it has aromas of cantaloupe and crushed tomato vine. The vibrant palate offers juicy green melon, pineapple and citrus together with a mineral note. Fresh acidity leaves a clean, crisp finish."
Italy,91,23.0,Pinot Grigio,Colterenzio,"This savory Pinot Grigio has a little weight on it thanks to grape selection and 20% aging in large barrels. It delivers classic Granny Smith apple, Bartlett pear, nutmeg and flint in a creamy texture brightened by fresh acidity."
US,91,38.0,Pinot Noir,Cuvaison,"With a light, silky mouthfeel and mouthwatering acidity, this Pinot satisfies for its rich array of raspberries, cherries, spices, cola and smoky oak. It defines the Carneros style: tart, a little earthy and ageworthy. Drink now–2019."
US,91,32.0,Zinfandel,De Loach,"De Loach continues to impress with this Lake County vineyard-designate, a well-balanced Zin with plenty of density amid its brick tar and brambly blackberry fruit. With leveled acidity along with plenty of power, it'll both age and be pleasing to drink now, with smoky meats."
US,94,60.0,Syrah,Saviah,"This standout Rocks District wine brings earth shaking aromas of black-olive brine, tapenade, green olive, stargazer lilies, orange peel and crushed gravel. The smoked meat, charcuterie and blue-fruit flavors don't hold back, bringing a lovely sense of texture and detail. It's an intense wine that completely demands your attention."
US,94,30.0,Riesling,Smith-Madrone,"Entirely estate grown from dry-farmed grapes, this white sparkles with waxy apricot and pear flavors and crisp, underlying mineral stoniness. Dry, with refreshing acidity, it doesn't skimp on mouthfeel, delivering a viscosity that's invitingly complex and lingering."
Italy,94,85.0,Red Blend,Speri,"This complex and fragrant wine opens with dried violet, black plum and cooking spice aromas. The smooth, well-structured palate doles out blackberry jam, pipe tobacco, ripe black cherry, nutmeg and licorice flavors. Velvety tannins provide elegant support. Drink through 2027."
US,94,30.0,Riesling,Stony Hill,"From a combination of dry-farmed estate fruit and grapes sourced in Carneros, this lovely white is fermented in stainless steel, which coaxes a seamless, light-bodied crispness on the palate. Exotic white peach and briny stone highlight a heady aromatic thread of honeysuckle, ginger and wild vanilla."
US,94,65.0,Pinot Noir,Testarossa,"Winemaker Bill Brosseau hits a single vineyard home run with this bottling from one of the Central Coast's oldest sites. It shows exotic plum, tangy cranberry, pine needle, juniper and pencil shaving scents on the nose. The palate is steeped in mulberry, marjoram and curry-like Indian spices, proving dynamic and delicious in the most compelling ways."
New Zealand,94,57.0,Chardonnay,Kumeu River,"Yields were down in 2015, but intensity is up, giving this medium-bodied, silky wine the potential to drink well through at least 2025. Hickory smoke outlines white peach before ending in a long flurry of lime zest."
