nm0000001,Fred Astaire
nm0056719,Robert Barrat
nm0056876,David Barrera
nm0057075,Brendon Ryan Barrett
nm0057983,Don 'Red' Barry
nm0058001,Gene Barry
nm0058372,Roger Bart
nm0058581,Justin Bartha
nm0059106,Charles Barton
nm0059431,Jay Baruchel
nm0059633,Tunç Basaran
nm0059835,Harry Basil
nm0059847,Oleg Basilashvili
nm0060072,Jules Bass
nm0060610,Gangapada Basu
nm0060988,Michael Bates
nm0061777,Chris Bauer
nm0062667,Alan Baxter
nm0062772,Keith Baxter
nm0062828,Warner Baxter
nm0063619,John Beal
nm0064197,Clyde Beatty
nm0065183,John Beck
nm0066144,Gerry Bednob
nm0066166,Alfonso Bedoya
nm0066247,Ford Beebe
nm0067768,Jordan Belfi
nm0067999,A. Dean Bell
nm0068260,Jamie Bell
nm0068385,Martin Bell
nm0068798,Ekkehardt Belle
nm0069474,Yuri Belov
nm0070670,Laslo Benedek
nm0070827,William 'Billy' Benedict
nm0071345,Paul Benjamin
nm0071636,Bruce Bennett
nm0071767,Garrett Bennett
nm0074340,Rick Berger
nm0074426,Bibo Bergeron
nm0074788,Henry Bergman
nm0075859,Ted Berman
nm0076252,Jason Bernard
nm0076779,Curtis Bernhardt
nm0076780,Daniel Bernhardt
nm0077512,Christopher Berry
nm0078653,Jon Beshara
nm0078940,James Best
nm0079273,Paul Bettany
nm0079328,Lyle Bettger
nm0079439,Jack Betts
nm0079475,Carl Betz
nm0080930,Edward Biby
nm0081175,Jean-Luc Bideau
nm0081217,Antonio Bido
nm0081361,Edward Peil Sr.
nm0081863,Richard Biggs
nm0082211,Haluk Bilginer
nm0082300,Tony Bill
nm0083307,Paul Birchard
nm0083655,Gil Birmingham
nm0083659,John Birmingham
nm0083709,David Birney
nm0084219,William Bishop
nm0084370,Yannick Bisson
nm0084435,Chhabi Biswas
nm0085153,Alex Black
nm0085407,Lucas Black
nm0085457,Noel Black
nm0086129,Paul Blain
nm0087018,Pierre Blanchar
nm0087593,Billy Blanks
nm0088098,Jonah Blechman
nm0088471,F. Blinn
nm0088745,Larry Block
nm0089176,Jason Bloom
nm0089314,Eric Blore
nm0089456,Marc Blucas
nm0089524,Monte Blue
nm0089937,Lothaire Bluteau
nm0089940,Don Bluth
nm0090008,Stanley Blystone
nm0090676,Richard Bock
nm0091076,Sergei Bodrov
nm0091430,Budd Boetticher
nm0091575,Paul Bogart
nm0092330,Michel Boisrond
nm0092900,John Boles
nm0093244,Ugo Bologna
nm0093678,Paolo Bonacelli
nm0094083,Sergey Bondarchuk
nm0095122,Sonny Bono
nm0095478,Mark Boone Junior
nm0095524,Richard Boone
nm0095980,Brad Borbridge
nm0097079,Ole Bornedal
nm0097491,Phillip Borsos
nm0097517,Derrick Borte
nm0097648,Frank Borzage
nm0098372,Brian Bosworth
nm0099398,Nicolas Boukhrief
nm0099677,Michel Bouquet
nm0100381,Dennis Boutsikaris
nm0100556,Raoul Bova
nm0101005,Tom Bower
nm0101504,Muriel Box
nm0101777,Guy Boyd
nm0102163,John Boylan
nm0102787,Eddie Bracken
nm0102908,Robert N. Bradbury
nm0102923,Greg Braddock
nm0103186,Dale G. Bradley
nm0103320,Leslie Bradley
nm0103722,Scott Brady
nm0103828,Mario Brega
nm0103975,John Brahm
nm0104096,Bob Bralver
nm0104312,Rustam Branaman
nm0104481,Joshua Brand
nm0104507,Neville Brand
nm0104787,Michael Brandon
nm0104821,Johannes Brandrup
nm0105169,Ash Brannon
nm0105175,Fred C. Brannon
nm0105462,Keefe Brasselle
nm0105482,Pierre Brasseur
nm0105672,Andre Braugher
nm0105973,Arthur Brauss
nm0106381,Gregg Brazzel
nm0106387,Rossano Brazzi
nm0107151,El Brendel
nm0107575,George Brent
nm0107740,Kevin Breslin
nm0107914,Jean Bretonnière
nm0108132,Craig Brewer
nm0108406,David Brian
nm0108523,Pierre Brice
nm0108637,Jon Briddell
nm0108653,Al Bridge
nm0111226,Charles Brokaw
nm0111311,John Bromfield
nm0111730,Peter Brooke
nm0112203,Rand Brooks
nm0112207,Randy Brooks
nm0112218,Richard Brooks
nm0112392,John Dennis
nm0112737,Oliver Broumis
nm0113077,Barry Brown
nm0113284,Clarence Brown
nm0113769,James Brown
nm0113902,Johnny Mack Brown
nm0114177,Marcus Lyle Brown
nm0114532,Rob Brown
nm0114602,Rowland Brown
nm0114810,Tom E. Brown
nm0114868,W. Earl Brown
nm0115218,Tod Browning
nm0115448,Colin Bruce
nm0115500,James Bruce
nm0115558,Nigel Bruce
nm0117035,Adam Bryant
nm0118000,Edgar Buchanan
nm0118333,Chris Buck
nm0118353,Frank Buck
nm0119993,Richard Bull
nm0120494,Robert Z'Dar
nm0121605,Billy Burke
nm0121789,Martyn Burke
nm0122344,Charles Burnett
nm0122470,Smiley Burnette
nm0122589,Bob Burns
nm0122634,David Burns
nm0122653,Edward Burns
nm0122675,George Burns
nm0122798,Michael Burns
nm0123310,Bill Burrud
nm0123680,Norman Burton
nm0124100,Billy Green Bush
nm0124287,Francis X. Bushman Jr.
nm0124877,David Butler
nm0124930,Gerard Butler
nm0125084,Paul Butler
nm0125111,Robert Butler
nm0125325,Charles Butterworth
nm0125732,Viktor Bychkov
nm0125847,Steve Byers
nm0125887,Bob Byington
nm0126004,Dan Byrd
nm0126049,Ralph Byrd
nm0126250,Michael Byrne
nm0126318,Edd Byrnes
nm0126397,Jeffrey Byron
nm0127511,Christy Cabanne
nm0127677,Bruce Cabot
nm0128050,Michael Cacoyannis
nm0128345,Jae-Hyun Cho
nm0128462,Stephen Caffrey
nm0128715,Edward L. Cahn
nm0128764,Mario Caiano
nm0128883,Christopher Cain
nm0129833,Otis Calef
nm0129883,Don Calfa
nm0129894,Louis Calhern
nm0130355,Kirk Calloway
nm0130407,Joseph Calleia
nm0130423,Sergi Calleja
nm0130886,Henry Calvin
nm0131064,Art Camacho
nm0131294,Claudio Camaso
nm0131387,Godfrey Cambridge
nm0131460,Mario Camerini
nm0131713,Rod Cameron
nm0132103,Joseph Campanella
nm0132257,Bruce Campbell
nm0132330,Colin Campbell
nm0132414,Doug Campbell
nm0133084,Tony Campisi
nm0133310,Rafael Campos
nm0133558,Lee Canalito
nm0134176,Danny Cannon
nm0134831,Yakima Canutt
nm0135584,Francis Capra
nm0136579,René Cardona
nm0136797,Steve Carell
nm0136818,Leo Garen
nm0136994,Macdonald Carey
nm0137023,Philip Carey
nm0137046,Timothy Carey
nm0137415,William P. Carleton
nm0137999,Richard Carlson
nm0138194,Clayton Moore
nm0138706,Charles Robert Carner
nm0138770,Art Carney
nm0138885,Morris Carnovsky
nm0139111,Glenn Gordon Caron
nm0140504,Leo Carrillo
nm0140865,John Carroll
nm0141351,John Paddy Carstairs
nm0142286,D.J. Caruso
nm0143378,Bernie Casey
nm0143984,Jon Cassar
nm0144082,Wally Cassell
nm0144307,John Cassini
nm0144758,Enzo G. Castellari
nm0144843,Federico Castelluccio
nm0145336,William Castle
nm0146905,Paul Cavanagh
nm0146974,Paolo Cavara
nm0147265,André Cayatte
nm0147436,Roberto Cañedo
nm0147983,Adriano Celentano
nm0147985,Jeff Celentano
nm0148418,Michael Cera
nm0148840,Fernando Cerulli
nm0148970,Tonino Cervi
nm0148974,Gino Cervi
nm0149548,Don Chaffey
nm0149831,Tulsi Chakraborty
nm0149845,Alok Chakravarty
nm0151356,Eddy Chandler
nm0151419,Kyle Chandler
nm0151420,Lane Chandler
nm0151733,Jin Jang
nm0151895,James Chankin
nm0152260,Syd Chaplin
nm0152466,Matthew Chapman
nm0153508,Henri Charrière
nm0153556,Spencer Charters
nm0154071,Glenndon Chatman
nm0154110,Anil Chatterjee
nm0154127,Haren Chatterjee
nm0154164,Soumitra Chatterjee
nm0154914,Ken Cheeseman
nm0155093,Peter Chelsom
nm0155469,Pierre Chenal
nm0155587,Kent Cheng
nm0156890,Joe Chu
nm0157893,William Ching
nm0158030,Juan Chioran
nm0158414,Wenzhuo Zhao
nm0158626,John Cho
nm0159007,Marvin J. Chomsky
nm0159789,Hayden Christensen
nm0160108,Christian-Jaque
nm0160177,Harvey Christiansen
nm0160550,Dennis Christopher
nm0161275,Siu Chung Mok
nm0161529,Chusheng Cai
nm0162030,Nando Cicero
nm0162948,Franco Citti
nm0163786,Colbert Clark
nm0163816,Dane Clark
nm0163892,Duane Clark
nm0164441,Roger Clark
nm0164809,Jason Clarke
nm0164929,Noel Clarke
nm0165049,Warren Clarke
nm0165412,James Clavell
nm0166058,William Clemens
nm0166730,Elmer Clifton
nm0166836,Edward F. Cline
nm0167396,Craig Clyde
nm0167496,René Clément
nm0167649,Kim Coates
nm0167810,Sloan Cobb
nm0167850,Bill Cobbs
nm0168215,Steve Cochran
nm0168864,Freeman Coffey
nm0168892,Scott Coffey
nm0168939,Tristram Coffin
nm0169294,Dan Cohen
nm0169438,Howard R. Cohen
nm0169540,Larry Cohen
nm0169753,Scott Cohen
nm0170039,Stephen Coit
nm0170113,Harley Cokeliss
nm0171315,John David Coles
nm0171385,Duilio Coletti
nm0171475,John Colicos
nm0172287,Eddie Collins
nm0172485,Lewis D. Collins
nm0172615,Ray Collins
nm0172642,Robert L. Collins
nm0172903,Ronald Colman
nm0173207,Carl Colpaert
nm0173724,Cristina Comencini
nm0173908,Perry Como
nm0174374,Bill Condon
nm0174682,Chester Conklin
nm0174692,Heinie Conklin
nm0175060,Christopher Connelly
nm0175227,Neil Connery
nm0175369,Walter Connolly
nm0175430,Kevin Connor
nm0175633,David Conrad
nm0175860,Rúaidhrí Conroy
nm0176073,Michael Constantine
nm0176141,Andreas Konstantinou
nm0176699,Jack Conway
nm0176702,James L. Conway
nm0176866,Richard Coogan
nm0176869,Steve Coogan
nm0177034,Fielder Cook
nm0177330,Warren Cook
nm0177396,Christian Cooke
nm0177872,Barrett Cooper
nm0177896,Bradley Cooper
nm0177933,Chris Cooper
nm0178114,Jackie Cooper
nm0178376,Scott Cooper
nm0178385,Silas Cooper
nm0179173,John Corbett
nm0179281,Sergio Corbucci
nm0179479,James Corden
nm0179819,Wendell Corey
nm0180431,Nick Cornish
nm0180984,Kevin Corrigan
nm0181003,Ray Corrigan
nm0181579,Rodrigo Cortés
nm0181741,Don Coscarelli
nm0181825,Douglas Cosgrove
nm0181902,George P. Cosmatos
nm0182579,Lou Costello
nm0183459,George Coulouris
nm0183460,Keith Coulouris
nm0183857,Jerome Courtland
nm0183887,C.C. Courtney
nm0184086,Christopher Cousins
nm0184392,Martin Kove
nm0184429,Franklin Cover
nm0184578,Jerome Cowan
nm0185173,Nell Cox
nm0185281,Wally Cox
nm0185568,Buster Crabbe
nm0185883,James Craig
nm0185954,Michael Craig
nm0186045,Anthony Dexter
nm0186251,Sonny Cranch
nm0186314,Bob Crane
nm0186600,Frank Craven
nm0187284,Laird Cregar
nm0187927,Erno Crisa
nm0187981,Donald Crisp
nm0188357,Harry Crocker
nm0188669,John Cromwell
nm0189076,Alan Crosland
nm0189200,Joseph Cross
nm0190536,Eric Cryderman
nm0191414,Andrew Cull
nm0191442,Brett Cullen
nm0191899,Irving Cummings
nm0191920,Kim Cummings
nm0191950,Robert Cummings
nm0192003,Gregory Scott Cummins
nm0192490,Alain Cuny
nm0192845,John Curran
nm0192890,William Curran
nm0192963,Gordon Currie
nm0193232,Alan Curtis
nm0193354,Jack Curtis
nm0193554,Vondie Curtis-Hall
nm0196592,Cameron Daddo
nm0197314,Dan Dailey
nm0197715,Jim Dale
nm0198072,Joe Dallesandro
nm0198501,Peter-Hugo Daly
nm0198804,Nick Damici
nm0198925,Gabriel Damon
nm0198991,Mel Damski
nm0199431,Jean Danet
nm0199787,Henry Daniell
nm0199823,Kevin Daniels
nm0199939,Gary Daniels
nm0200005,Lee Daniels
nm0200452,Paul Dano
nm0200488,Cesare Danova
nm0200599,Michael Dante
nm0201690,John Darrow
nm0202088,Jules Dassin
nm0202501,Richard Davalos
nm0202681,Delmer Daves
nm0202810,Alki David
nm0202966,Keith David
nm0202999,Mark David
nm0203429,Martin Davidson
nm0203508,Tommy Davidson
nm0204629,Gary Davis
nm0204639,George Davis
nm0204720,J. Davis
nm0204824,Jim Davis
nm0205014,Lee Davis
nm0205772,Ken Davitian
nm0205779,Renat Davletyarov
nm0205888,Joseph A. Daw
nm0206560,Robert Day
nm0207018,Peter De Anda
nm0207218,Isaach De Bankolé
nm0207616,Lee de Broux
nm0210016,Gordon De Main
nm0210235,Carlo De Mejo
nm0211523,Jean de Segonzac
nm0211964,André De Toth
nm0212818,Jimmy Dean
nm0213100,William Dear
nm0213581,Jean Debucourt
nm0213983,David DeCoteau
nm0214529,Don DeFore
nm0214860,Raffaello Degruttola
nm0215260,Albert Dekker
nm0215877,Roy Del Ruth
nm0216381,Jean Delannoy
nm0216596,Marcel Delaître
nm0217466,Carlo Delle Piane
nm0217716,Michael DeLorenzo
nm0218131,William Demarest
nm0218849,Aleksandr Demyanenko
nm0219062,Maurice Denham
nm0219151,Jacques Denis
nm0219292,David Denman
nm0219396,Richard Denning
nm0222596,Andy Devine
nm0223290,Brad Dexter
nm0223296,Elliott Dexter
nm0223317,Maury Dexter
nm0223359,Tom Dey
nm0223939,Michael Di Jiacomo
nm0223964,Fernando Di Leo
nm0224565,Chris Diamantopoulos
nm0225410,Darrin Dickerson
nm0225416,Ernest R. Dickerson
nm0226189,William Dieterle
nm0226947,Bradford Dillman
nm0227647,John Dullaghan
nm0227693,Henry Dinhofer
nm0228715,Richard Dix
nm0229424,Edward Dmytryk
nm0229810,Fyodor Dobronravov
nm0229930,Peter Dobson
nm0230032,Pete Docter
nm0230335,John Doe
nm0231030,Siko Dolidze
nm0232019,James Donald
nm0232800,Jack Donner
nm0232902,Jack Donohue
nm0233027,Martin Donovan
nm0233079,Ryan Donowho
nm0233209,Paul Dooley
nm0233856,Philip Dorn
nm0234174,Omar J. Dorsey
nm0234791,Doug E. Doug
nm0235066,Gordon Douglas
nm0236026,Mike Downey
nm0236495,Shawn Doyle
nm0236519,Brian Doyle-Murray
nm0236866,Charles Drake
nm0237025,Tom Drake
nm0238719,Robert Dryden
nm0239210,Don Dubbins
nm0239532,Paul Dubov
nm0240582,Martin Duffy
nm0240638,Jacques Dufilho
nm0240995,Christian Duguay
nm0241121,Jean Dujardin
nm0241173,Clark Duke
nm0241748,Dennis Dun
nm0241870,Rockmond Dunbar
nm0242001,Johnny Duncan
nm0242188,Angelo Dundee
nm0242756,Ryan Dunn
nm0242903,Robin Dunne
nm0243231,Jay Duplass
nm0243295,Ewald André Dupont
nm0243806,Kevin Durand
nm0243838,Christian Durango
nm0244270,Dick Durock
nm0245213,Julien Duvivier
nm0245385,Allan Dwan
nm0245429,Earl Dwire
nm0245579,Franklin Dyall
nm0246004,Richard Dysart
nm0246985,E-40
nm0247484,B. Reeves Eason
nm0248054,Thom Eberhardt
nm0248408,Emilio Echevarría
nm0248535,Stephen Eckelberry
nm0248904,Nelson Eddy
nm0248942,Uli Edel
nm0248983,Herb Edelman
nm0249291,Joel Edgerton
nm0249378,Matthew Edison
nm0249893,Cliff Edwards
nm0249924,David Edwards
nm0250070,James L. Edwards
nm0250436,Vince Edwards
nm0250724,Richard Egan
nm0250910,Rainer Egger
nm0252230,Chiwetel Ejiofor
nm0252832,Nicholas Kadi
nm0253020,Dana Elcar
nm0253585,Peter Elich
nm0253605,Larry Elikann
nm0254818,Edward Ellis
nm0255373,Jamie Elman
nm0256205,Eric Emerson
nm0256263,Todd Emerson
nm0258015,Ray Enright
nm0258089,René Enríquez
nm0258268,Richard Epcar
nm0258748,Dennis Erdman
nm0260020,Stuart Erwin
nm0261805,Erik Estrada
nm0262775,Gene Evans
nm0263052,Maurice Evans
nm0263496,Chad Everett
nm0263625,J.D. Evermore
nm0264512,Peter Faber
nm0265139,Giovanni Fago
nm0265422,Kevin Fair
nm0265492,Craig Fairbrass
nm0266424,John Fallon
nm0266652,Mei Sheng Fan
nm0266658,Siu-Wong Fan
nm0267279,Antonio Fargas
nm0267511,Sean Faris
nm0267650,Jim Farley
nm0268051,Ned Farr
nm0268119,David Farrar
nm0268190,Charles Farrell
nm0268199,Colin Farrell
nm0268286,Mike Farrell
nm0268352,Tom Farrell
nm0268513,John Farrow
nm0269285,Michael Faustino
nm0269463,Jon Favreau
nm0269709,Frank Faylen
nm0270139,Wayne Federman
nm0270765,Felix E. Feist
nm0272059,Leslie Fenton
nm0273477,Emilio Fernández
nm0274298,Chris Ferreira
nm0275213,Gabriele Ferzetti
nm0275417,Mark Feuerstein
nm0275835,John Fiedler
nm0275913,David Field
nm0276062,Todd Field
nm0276132,Edward Fielding
nm0276840,Leonid Filatov
nm0277140,Sergey Filippov
nm0277213,Nathan Fillion
nm0277975,Frank Finlay
nm0279438,Danny Fisher
nm0279863,Bill Fishman
nm0279926,Jack Fisk
nm0280178,Barry Fitzgerald
nm0280707,Paul Fix
nm0280749,Jack Fjeldstad
nm0281318,Flavor Flav
nm0281329,James Flavin
nm0281507,Richard Fleischer
nm0281556,Walter Reisch
nm0281808,Victor Fleming
nm0282435,Jay C. Flippen
nm0283292,Robert Floyd
nm0283499,Joe Flynn
nm0283500,John Flynn
nm0285126,Lloyd Fonvielle
nm0285264,Dick Foran
nm0285302,Bryan Forbes
nm0285401,Scott Forbes
nm0285449,Jeffrey Force
nm0285818,Paul Ford
nm0285922,Wallace Ford
nm0286040,George Foreman
nm0286379,Tom Forman
nm0286595,Andy Forrest
nm0286975,Marc Forster
nm0287702,Blake Foster
nm0287720,Catlin Foster
nm0287898,Jon Foster
nm0287931,Lewis R. Foster
nm0287988,Norman Foster
nm0287999,Phil Foster
nm0288055,Stan Foster
nm0288830,Douglas Fowley
nm0289030,Huckleberry Fox
nm0289114,Laurence Fox
nm0289142,Matthew Fox
nm0289186,Paul Fox
nm0289297,Wallace Fox
nm0289343,Robert Foxworth
nm0289439,Victoria Foyt
nm0289858,Victor Francen
nm0290047,Anthony Franciosa
nm0290066,Alec B. Francis
nm0290371,Pietro Francisci
nm0290556,James Franco
nm0290767,Billy Franey
nm0291035,Melvin Frank
nm0291205,David Frankel
nm0291548,Sidney Franklin
nm0291821,Arthur Franz
nm0292134,Harry L. Fraser
nm0292419,James Frawley
nm0292433,William Frawley
nm0292528,Mark Frazer
nm0292654,Andrea Frazzi
nm0292655,Antonio Frazzi
nm0292691,Peter Frechette
nm0292720,Riccardo Freda
nm0293197,Jerrold Freedman
nm0293659,Paul Frees
nm0293707,Hugo Fregonese
nm0293896,Benedict Freitag
nm0294058,Charles K. French
nm0294322,Reed Frerichs
nm0295367,Seymour Friedman
nm0296260,Jürgen Frohriep
nm0297799,Jerry Fujio
nm0297800,Hiroshi Fujioka
nm0298089,Christopher Fulford
nm0298807,Antoine Fuqua
nm0299192,Toshio Furukawa
nm0299811,Benno Fürmann
nm0300064,Jean Gabin
nm0300210,Enrique Gabriel
nm0300276,Roman Gabriel
nm0300520,Carlo Gaddi
nm0300781,Valentin Gaft
nm0301145,Leonid Gayday
nm0301178,Max Gail
nm0301305,Boyd Gaines
nm0301370,M.C. Gainey
nm0301826,Bob Gale
nm0301887,Craig Stevens
nm0303032,George Gallo
nm0304098,Abel Gance
nm0304628,Leland Gantt
nm0305087,Al Ernest Garcia
nm0305488,Henri Garcin
nm0305558,Gael García Bernal
nm0306696,Vincent Gardenia
nm0306786,Reginald Gardiner
nm0307255,Allen Garfield
nm0307326,William Gargan
nm0307491,Gianni Garko
nm0307560,Richard Garland
nm0307819,Tay Garnett
nm0308161,Leif Garrett
nm0309107,Tatsuya Gashûin
nm0309691,John Gatins
nm0309693,Mark Gatiss
nm0310960,George Gaynes
nm0311357,Gordon Gebert
nm0312238,Clarence Geldart
nm0313189,Race Gentry
nm0313387,Christopher George
nm0313443,Götz George
nm0315767,Massimo Ghini
nm0315871,Smaran Ghosal
nm0315929,Shyamal Ghoshal
nm0316079,Paul Giamatti
nm0316284,Giancarlo Giannini
nm0316830,Alan Gibson
nm0317637,Sandro Giglio
nm0317970,Billy Gilbert
nm0318105,John Gilbert
nm0318527,Jack Gilford
nm0318829,Donald Reed
nm0319142,Lawrence Gilliard Jr.
nm0319574,Stuart Gilmore
nm0319680,Tom Gilroy
nm0320180,Robert Ginty
nm0320552,Claudio Gioè
nm0321294,Aldo Giuffrè
nm0321407,Carlo Giustini
nm0322299,James Gleason
nm0322407,Brendan Gleeson
nm0322513,Iain Glen
nm0323187,Zachary Simmons Glover
nm0323239,Will Gluck
nm0324179,Héctor Godoy
nm0324658,Walton Goggins
nm0324875,Menahem Golan
nm0325135,Willis Goldbeck
nm0325204,Gary David Goldberg
nm0325776,Gary Goldman
nm0326360,James Goldstone
nm0326988,Carlos Gómez
nm0327089,Thomas Gomez
nm0327106,Archil Gomiashvili
nm0329299,Charles Goodrich
nm0329433,Bill Goodwin
nm0329511,Malcolm Goodwin
nm0329832,Leo Gorcey
nm0330064,Carl Gordon
nm0330388,Leo Gordon
nm0330456,Michael Gordon
nm0330687,Joseph Gordon-Levitt
nm0331054,Cliff Gorman
nm0331319,Frank Gorshin
nm0331374,Marjoe Gortner
nm0331471,Hideo Gosha
nm0331516,Ryan Gosling
nm0331532,Raja Gosnell
nm0331577,Luke Goss
nm0331777,Andrew Goth
nm0331956,Carl Gottlieb
nm0332392,Heywood Gould
nm0332517,William Gould
nm0332539,Edmund Goulding
nm0332892,Stanislav Govorukhin
nm0333410,Topher Grace
nm0334057,Gerrit Graham
nm0334123,Jo Graham
nm0334353,William A. Graham
nm0335048,Farley Granger
nm0335283,Brian Grant
nm0335344,David Marshall Grant
nm0335455,James Edward Grant
nm0335523,Leon W. Grant
nm0335788,Charley Grapewin
nm0336139,Walter Grauman
nm0336335,Peter Graves
nm0336633,Gary Gray
nm0336695,James Gray
nm0336726,John Gray
nm0336905,Robert Gray
nm0337586,Alfred E. Green
nm0337885,Guy Green
nm0338614,James Marshall
nm0338719,David Greene
nm0338725,David Greene
nm0338774,Herbert S. Greene
nm0338886,Peter Greene
nm0338901,Richard Greene
nm0339264,David Greenwalt
nm0340029,Tjardus Greidanus
nm0341021,Andrew Grieve
nm0341055,Joe Grifasi
nm0341176,Eddie Griffin
nm0341431,Andy Griffith
nm0341716,Mark Griffiths
nm0342201,Gary Grimes
nm0342241,Scott Grimes
nm0342732,George Grizzard
nm0343260,Ulu Grosbard
nm0343361,Edan Gross
nm0343447,Michael Gross
nm0343630,Douglas Grossman
nm0344230,Andreas Gruber
nm0344435,Ioan Gruffudd
nm0344578,Rueben Grundy
nm0344804,Yuri Grymov
nm0345340,Harry Guardino
nm0346436,Val Guest
nm0346841,Martin Guigui
nm0347086,John Guillermin
nm0347140,Bennet Guillory
nm0347656,Clu Gulager
nm0347842,Leo Gullotta
nm0347957,Devon Gummersall
nm0348197,Jon Gunn
nm0348276,Þröstur Leó Gunnarsson
nm0348323,Matthew Gunnoe
nm0348371,Dan Gunther
nm0348483,Pinaki Sengupta
nm0350079,Luis Guzmán
nm0350196,Georges Géret
nm0350324,Edmund Gwenn
nm0350372,Michael Gwynn
nm0350453,Jake Gyllenhaal
nm0350455,Stephen Gyllenhaal
nm0351133,José Luis Gómez
nm0351918,Charles F. Haas
nm0352495,Raymond Hackett
nm0352778,Bill Hader
nm0354024,Charles Haid
nm0354085,Sid Haig
nm0354947,Jonathan Hale
nm0355032,William Hale
nm0355095,Jack Haley
nm0355097,Jackie Earle Haley
nm0355653,Huntz Hall
nm0356159,Thurston Hall
nm0356568,John Halliday
nm0356931,Victor Halperin
nm0357646,Youssef Hamid
nm0357891,Guy Hamilton
nm0357979,Josh Hamilton
nm0358076,Neil Hamilton
nm0358316,Jon Hamm
nm0359386,John D. Hancock
nm0359387,John Lee Hancock
nm0359437,Tony Hancock
nm0359534,Don Handfield
nm0359894,Roger Hanin
nm0359969,Larry Hankin
nm0360481,Mathew Karedas
nm0361068,Rolf Hansen
nm0361135,Mia Hansen-Løve
nm0362544,Gary Hardwick
nm0362567,Cedric Hardwicke
nm0362766,Tom Hardy
nm0363218,Kenneth Harlan
nm0363227,Otis Harlan
nm0363553,Robert Harmon
nm0363753,Ralf Harolde
nm0363780,Kenneth Harp
nm0364252,Curtis Harrington
nm0364905,Joshua Harris
nm0364963,Kirk Harris
nm0365221,Raphael Harris
nm0365615,Greg Harrison
nm0366489,Richard Hart
nm0366942,Don Hartman
nm0367283,David Hartwell
nm0367358,Päivi Hartzell
nm0367431,Anthony Harvey
nm0367496,Don Harvey
nm0367524,Gary Harvey
nm0368049,Ichirô Nakatani
nm0368674,Masami Hata
nm0368836,Hurd Hatfield
nm0368871,Henry Hathaway
nm0369058,Raymond Hatton
nm0369254,Robert Haufrecht
nm0370035,John Hawkes
nm0370144,Jack Hawkins
nm0370821,Richard Haydn
nm0371025,George 'Gabby' Hayes
nm0371080,John Hayes
nm0371376,Dick Haymes
nm0371660,Dennis Haysbert
nm0371775,Louis Hayward
nm0371890,Michel Hazanavicius
nm0372317,Dorian Healy
nm0372366,Pat Healy
nm0372384,Ted Healy
nm0372421,Jonathan Heap
nm0372522,Bryan Hearne
nm0373314,David Hedison
nm0373600,Kyle T. Heffner
nm0373612,Richard T. Heffron
nm0373773,O.P. Heggie
nm0374702,Stuart Heisler
nm0374901,Alexander Held
nm0374919,Martin Held
nm0375476,Jaime Hellman
nm0375477,Jerome Hellman
nm0375973,Ralph Hemecker
nm0378200,Darrin Dewitt Henson
nm0379092,Albert Herman
nm0379150,Jean Herman
nm0379179,Mark Herman
nm0379391,Cirio H. Santiago
nm0379596,Jay Hernandez
nm0379621,Juano Hernandez
nm0381273,John Herzfeld
nm0381416,Grant Heslov
nm0382165,Weldon Heyburn
nm0382529,Jesse Hibbs
nm0382548,Winston Hibler
nm0382722,Dwayne Hickman
nm0382776,Anthony Hickox
nm0382779,Douglas Hickox
nm0382956,Scott Hicks
nm0383343,Bryn Higgins
nm0383467,Paul Higgins
nm0383688,Shinji Higuchi
nm0384050,Arthur Hill
nm0384335,Jack Hill
nm0384916,John Hillerman
nm0385171,Lambert Hillyer
nm0385757,Pat Hingle
nm0386991,Rupert Hitzig
nm0387002,Jack Hively
nm0387322,Ka-Kui Ho
nm0387706,Gregory Hoblit
nm0388198,Mike Hodges
nm0388232,Earle Hodgins
nm0388303,John Hodiak
nm0388505,Paul Hoen
nm0388615,Dennis Hoey
nm0388648,Ernst Hofbauer
nm0389043,Otto Hoffman
nm0389527,Gabriel Hogan
nm0389824,Arthur Hohl
nm0390226,Lansing C. Holden
nm0390822,Savage Steve Holland
nm0391096,Earl Holliman
nm0392340,Joachim Holst-Jensen
nm0392442,Jack Holt
nm0392529,Tim Holt
nm0392837,Edward Holzman
nm0392913,Lluís Homar
nm0392945,Skip Homeier
nm0393028,Oskar Homolka
nm0393037,Tom Hompertz
nm0393222,James Hong
nm0393655,Brian Hooks
nm0394280,Stephen Hopkins
nm0394409,Jerry Hopper
nm0394944,Jeffrey Hornaday
nm0395105,Harry Horner
nm0396558,Nicholas Hoult
nm0396768,Arthur Housman
nm0396812,Danny Huston
nm0397124,Arliss Howard
nm0397397,John Howard
nm0397441,Kevyn Major Howard
nm0397526,Noël Howard
nm0397590,Sandy Howard
nm0397678,William K. Howard
nm0397721,Kevin Howarth
nm0398139,Reed Howes
nm0398466,John Hoyt
nm0399663,David Huddleston
nm0400403,Roy Huggins
nm0400464,Barnard Hughes
nm0401018,D.L. Hughley
nm0401203,Raman Hui
nm0401434,Henry Hull
nm0401680,H. Bruce Humberstone
nm0402277,Arthur Hunnicutt
nm0402596,Peter H. Hunt
nm0402611,Richard Hunt
nm0402842,Ian Hunter
nm0403628,Michael Hurst
nm0403636,Paul Hurst
nm0403774,William T. Hurtz
nm0404014,Waris Hussein
nm0404091,Francis Huster
nm0404606,Brian G. Hutton
nm0405035,Wilfrid Hyde-White
